month,bidding_no,vehicle_class,quota,bids_success,bids_received,premium
2014-01,1,Category C,258,252,337,48889
2014-01,1,Category D,489,487,542,1989
2014-01,1,Category E,261,244,392,79000
2014-01,2,Category A,368,364,724,72290
2014-01,2,Category B,393,388,512,79000
2014-01,2,Category C,264,249,356,50001
2014-01,2,Category D,503,503,796,2704
2014-01,2,Category E,261,259,373,78810
2014-02,1,Category A,362,356,719,71564
2014-02,1,Category B,360,360,523,75300
2014-02,1,Category C,267,264,364,51002
2014-02,1,Category D,361,353,550,3051
2014-02,1,Category E,208,205,351,77003
2014-02,2,Category A,362,358,700,77201
2014-02,2,Category B,355,353,519,78604
2014-02,2,Category C,277,273,392,52890
2014-02,2,Category D,360,359,478,3501
2014-02,2,Category E,193,191,321,79000
2014-03,1,Category A,365,356,615,76999
2014-03,1,Category B,350,337,499,80710
2014-03,1,Category C,265,262,439,56302
2014-03,1,Category D,368,340,483,4001
2014-03,1,Category E,193,185,292,82000
2014-03,2,Category A,362,360,577,78602
2014-03,2,Category B,353,352,524,82900
2014-03,2,Category C,266,256,356,53891
2014-03,2,Category D,360,355,449,4289
2014-03,2,Category E,193,192,293,84001
2014-04,1,Category A,367,360,537,77400
2014-04,1,Category B,363,363,523,84504
2014-04,1,Category C,265,261,303,49503
2014-04,1,Category D,388,388,520,4489
2014-04,1,Category E,199,197,283,84100
2014-04,2,Category A,361,357,513,71335
2014-04,2,Category B,351,349,486,75010
2014-04,2,Category C,272,266,392,32890
2014-04,2,Category D,365,350,492,4502
2014-04,2,Category E,192,192,310,73810
2014-05,1,Category A,513,512,676,60002
2014-05,1,Category B,483,472,778,70002
2014-05,1,Category C,389,389,715,36301
2014-05,1,Category D,343,340,445,4001
2014-05,1,Category E,295,295,525,65501
2014-05,2,Category A,509,506,997,65689
2014-05,2,Category B,484,477,716,68103
2014-05,2,Category C,392,386,709,40889
2014-05,2,Category D,358,316,492,4003
2014-05,2,Category E,294,285,497,67290
2014-06,1,Category A,507,499,1040,63190
2014-06,1,Category B,494,484,807,67304
2014-06,1,Category C,385,378,617,43001
2014-06,1,Category D,346,346,449,4089
2014-06,1,Category E,293,292,465,67334
2014-06,2,Category A,509,506,1040,61899
2014-06,2,Category B,490,475,716,65700
2014-06,2,Category C,391,385,597,42001
2014-06,2,Category D,385,381,503,3890
2014-06,2,Category E,302,276,434,65301
2014-07,1,Category A,513,511,1075,61990
2014-07,1,Category B,493,491,812,64889
2014-07,1,Category C,392,383,653,43390
2014-07,1,Category D,344,343,415,4001
2014-07,1,Category E,294,288,441,63001
2014-07,2,Category A,509,505,1190,62890
2014-07,2,Category B,498,497,850,65001
2014-07,2,Category C,391,391,779,52010
2014-07,2,Category D,347,341,410,4252
2014-07,2,Category E,319,317,483,65002
2014-08,1,Category A,574,574,1086,64600
2014-08,1,Category B,507,501,1090,68689
2014-08,1,Category C,267,267,519,54009
2014-08,1,Category D,316,315,360,4353
2014-08,1,Category E,245,243,429,69001
2014-08,2,Category A,575,574,994,65710
2014-08,2,Category B,506,502,1137,72990
2014-08,2,Category C,257,254,427,52390
2014-08,2,Category D,322,317,361,4354
2014-08,2,Category E,241,224,358,72810
2014-09,1,Category A,572,568,813,64841
2014-09,1,Category B,511,511,909,73010
2014-09,1,Category C,258,256,429,49901
2014-09,1,Category D,316,316,382,4453
2014-09,1,Category E,241,235,385,74403
2014-09,2,Category A,573,573,792,62000
2014-09,2,Category B,509,507,785,71990
2014-09,2,Category C,261,252,437,49889
2014-09,2,Category D,320,318,394,4504
2014-09,2,Category E,256,252,395,74801
2014-10,1,Category A,575,570,1097,63880
2014-10,1,Category B,505,501,852,72180
2014-10,1,Category C,259,257,516,57389
2014-10,1,Category D,316,316,502,4800
2014-10,1,Category E,245,236,390,72003
2014-10,2,Category A,572,569,1092,63990
2014-10,2,Category B,507,506,822,72002
2014-10,2,Category C,267,266,416,61000
2014-10,2,Category D,317,310,431,4412
2014-10,2,Category E,242,242,335,72201
2014-11,1,Category A,703,692,1196,64900
2014-11,1,Category B,574,559,832,70890
2014-11,1,Category C,143,143,257,63701
2014-11,1,Category D,316,315,380,4290
2014-11,1,Category E,272,271,403,71300
2014-11,2,Category A,701,694,1144,67889
2014-11,2,Category B,570,560,900,72890
2014-11,2,Category C,142,134,260,65001
2014-11,2,Category D,324,322,389,4189
2014-11,2,Category E,263,263,382,73900
2014-12,1,Category A,709,703,996,67089
2014-12,1,Category B,584,582,873,74389
2014-12,1,Category C,141,126,196,60001
2014-12,1,Category D,318,314,392,4210
2014-12,1,Category E,265,257,370,76904
2014-12,2,Category A,705,699,868,65889
2014-12,2,Category B,579,572,755,74000
2014-12,2,Category C,149,149,268,52100
2014-12,2,Category D,319,270,367,4312
2014-12,2,Category E,264,264,446,73990
2015-01,1,Category A,704,698,940,66010
2015-01,1,Category B,571,570,833,75289
2015-01,1,Category C,156,155,296,55011
2015-01,1,Category D,321,319,374,4403
2015-01,1,Category E,272,265,386,75200
2015-01,2,Category A,705,703,1068,65001
2015-01,2,Category B,576,576,915,76889
2015-01,2,Category C,140,139,247,55012
2015-01,2,Category D,366,360,509,4889
2015-01,2,Category E,264,246,431,76790
2015-02,1,Category A,992,991,1295,62002
2015-02,1,Category B,724,723,959,70890
2015-02,1,Category C,185,183,311,52101
2015-02,1,Category D,287,283,384,5504
2015-02,1,Category E,181,181,288,71921
2015-02,2,Category A,988,988,1294,57199
